Id,Sleep,SleepDay,SleepTime,TotalSleepRecords,TotalMinutesAsleep,HourAsleep,TotalTimeInBed,HourInBed
1503960366,04-12-2016 00:00,04-12-2016,00:00:00,1,327,05:27:00,346,05:46:00
1503960366,13-04-2016,13-04-2016,12:00:00,2,384,06:24:00,407,06:47:00
1503960366,15-04-2016,15-04-2016,12:00:00,1,412,06:52:00,442,07:22:00
1503960366,16-04-2016,16-04-2016,12:00:00,2,340,05:40:00,367,06:07:00
1503960366,17-04-2016,17-04-2016,12:00:00,1,700,11:40:00,712,11:52:00
1503960366,19-04-2016,19-04-2016,12:00:00,1,304,05:04:00,320,05:20:00
1503960366,20-04-2016,20-04-2016,12:00:00,1,360,06:00:00,377,06:17:00
1503960366,21-04-2016,21-04-2016,12:00:00,1,325,05:25:00,364,06:04:00
1503960366,23-04-2016,23-04-2016,12:00:00,1,361,06:01:00,384,06:24:00
1503960366,24-04-2016,24-04-2016,12:00:00,1,430,07:10:00,449,07:29:00
1503960366,25-04-2016,25-04-2016,12:00:00,1,277,04:37:00,323,05:23:00
1503960366,26-04-2016,26-04-2016,12:00:00,1,245,04:05:00,274,04:34:00
1503960366,28-04-2016,28-04-2016,12:00:00,1,366,06:06:00,393,06:33:00
1503960366,29-04-2016,29-04-2016,12:00:00,1,341,05:41:00,354,05:54:00
1503960366,30-04-2016,30-04-2016,12:00:00,1,404,06:44:00,425,07:05:00
1503960366,05-01-2016 00:00,05-01-2016,00:00:00,1,369,06:09:00,396,06:36:00
1503960366,05-02-2016 00:00,05-02-2016,00:00:00,1,277,04:37:00,309,05:09:00
1503960366,05-03-2016 00:00,05-03-2016,00:00:00,1,273,04:33:00,296,04:56:00
1503960366,05-05-2016 00:00,05-05-2016,00:00:00,1,247,04:07:00,264,04:24:00
1503960366,05-06-2016 00:00,05-06-2016,00:00:00,1,334,05:34:00,367,06:07:00
1503960366,05-07-2016 00:00,05-07-2016,00:00:00,1,331,05:31:00,349,05:49:00
1503960366,05-08-2016 00:00,05-08-2016,00:00:00,1,594,09:54:00,611,10:11:00
1503960366,05-09-2016 00:00,05-09-2016,00:00:00,1,338,05:38:00,342,05:42:00
1503960366,05-10-2016 00:00,05-10-2016,00:00:00,1,383,06:23:00,403,06:43:00
1503960366,05-11-2016 00:00,05-11-2016,00:00:00,1,285,04:45:00,306,05:06:00
1644430081,29-04-2016,29-04-2016,12:00:00,1,119,01:59:00,127,02:07:00
1644430081,30-04-2016,30-04-2016,12:00:00,1,124,02:04:00,142,02:22:00
1644430081,05-08-2016 00:00,05-08-2016,00:00:00,1,137,02:17:00,154,02:34:00
1927972279,13-04-2016,13-04-2016,12:00:00,1,398,06:38:00,422,07:02:00
1927972279,15-04-2016,15-04-2016,12:00:00,2,475,07:55:00,499,08:19:00
1927972279,26-04-2016,26-04-2016,12:00:00,1,296,04:56:00,315,05:15:00
1927972279,28-04-2016,28-04-2016,12:00:00,1,166,02:46:00,178,02:58:00
2026352035,04-12-2016 00:00,04-12-2016,00:00:00,1,503,08:23:00,546,09:06:00
2026352035,13-04-2016,13-04-2016,12:00:00,1,531,08:51:00,565,09:25:00
2026352035,14-04-2016,14-04-2016,12:00:00,1,545,09:05:00,568,09:28:00
2026352035,15-04-2016,15-04-2016,12:00:00,1,523,08:43:00,573,09:33:00
2026352035,16-04-2016,16-04-2016,12:00:00,1,524,08:44:00,567,09:27:00
2026352035,17-04-2016,17-04-2016,12:00:00,1,437,07:17:00,498,08:18:00
2026352035,19-04-2016,19-04-2016,12:00:00,1,498,08:18:00,540,09:00:00
2026352035,20-04-2016,20-04-2016,12:00:00,1,461,07:41:00,510,08:30:00
2026352035,21-04-2016,21-04-2016,12:00:00,1,477,07:57:00,514,08:34:00
2026352035,22-04-2016,22-04-2016,12:00:00,1,520,08:40:00,545,09:05:00
2026352035,23-04-2016,23-04-2016,12:00:00,1,522,08:42:00,554,09:14:00
2026352035,24-04-2016,24-04-2016,12:00:00,1,555,09:15:00,591,09:51:00
2026352035,25-04-2016,25-04-2016,12:00:00,1,506,08:26:00,531,08:51:00
2026352035,27-04-2016,27-04-2016,12:00:00,1,508,08:28:00,545,09:05:00
2026352035,28-04-2016,28-04-2016,12:00:00,1,513,08:33:00,545,09:05:00
2026352035,29-04-2016,29-04-2016,12:00:00,1,490,08:10:00,510,08:30:00
2026352035,30-04-2016,30-04-2016,12:00:00,1,573,09:33:00,607,10:07:00
2026352035,05-01-2016 00:00,05-01-2016,00:00:00,1,527,08:47:00,546,09:06:00
2026352035,05-02-2016 00:00,05-02-2016,00:00:00,1,511,08:31:00,543,09:03:00
2026352035,05-04-2016 00:00,05-04-2016,00:00:00,1,538,08:58:00,560,09:20:00
2026352035,05-05-2016 00:00,05-05-2016,00:00:00,1,468,07:48:00,485,08:05:00
2026352035,05-06-2016 00:00,05-06-2016,00:00:00,1,524,08:44:00,548,09:08:00
2026352035,05-07-2016 00:00,05-07-2016,00:00:00,1,511,08:31:00,521,08:41:00
2026352035,05-08-2016 00:00,05-08-2016,00:00:00,1,541,09:01:00,568,09:28:00
2026352035,05-09-2016 00:00,05-09-2016,00:00:00,1,531,08:51:00,556,09:16:00
2026352035,05-10-2016 00:00,05-10-2016,00:00:00,1,357,05:57:00,380,06:20:00
2026352035,05-11-2016 00:00,05-11-2016,00:00:00,1,523,08:43:00,553,09:13:00
2026352035,05-12-2016 00:00,05-12-2016,00:00:00,1,456,07:36:00,485,08:05:00
2347167796,13-04-2016,13-04-2016,12:00:00,1,467,07:47:00,531,08:51:00
2347167796,14-04-2016,14-04-2016,12:00:00,1,445,07:25:00,489,08:09:00
2347167796,15-04-2016,15-04-2016,12:00:00,1,452,07:32:00,504,08:24:00
2347167796,17-04-2016,17-04-2016,12:00:00,1,556,09:16:00,602,10:02:00
2347167796,18-04-2016,18-04-2016,12:00:00,1,500,08:20:00,557,09:17:00
2347167796,19-04-2016,19-04-2016,12:00:00,1,465,07:45:00,514,08:34:00
2347167796,21-04-2016,21-04-2016,12:00:00,1,460,07:40:00,484,08:04:00
2347167796,22-04-2016,22-04-2016,12:00:00,1,405,06:45:00,461,07:41:00
2347167796,23-04-2016,23-04-2016,12:00:00,1,374,06:14:00,386,06:26:00
2347167796,24-04-2016,24-04-2016,12:00:00,1,442,07:22:00,459,07:39:00
2347167796,25-04-2016,25-04-2016,12:00:00,1,433,07:13:00,471,07:51:00
2347167796,26-04-2016,26-04-2016,12:00:00,1,436,07:16:00,490,08:10:00
2347167796,27-04-2016,27-04-2016,12:00:00,1,448,07:28:00,499,08:19:00
2347167796,28-04-2016,28-04-2016,12:00:00,1,408,06:48:00,450,07:30:00
2347167796,29-04-2016,29-04-2016,12:00:00,1,411,06:51:00,473,07:53:00
3977333714,04-12-2016 00:00,04-12-2016,00:00:00,1,274,04:34:00,469,07:49:00
3977333714,13-04-2016,13-04-2016,12:00:00,2,295,04:55:00,456,07:36:00
3977333714,14-04-2016,14-04-2016,12:00:00,1,291,04:51:00,397,06:37:00
3977333714,15-04-2016,15-04-2016,12:00:00,1,424,07:04:00,556,09:16:00
3977333714,16-04-2016,16-04-2016,12:00:00,1,283,04:43:00,510,08:30:00
3977333714,17-04-2016,17-04-2016,12:00:00,1,381,06:21:00,566,09:26:00
3977333714,18-04-2016,18-04-2016,12:00:00,2,412,06:52:00,522,08:42:00
3977333714,19-04-2016,19-04-2016,12:00:00,1,219,03:39:00,395,06:35:00
